"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 23 22:37:44 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","20","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity_MissingParameters","Тест получения времени активности пользователя за месяц с отсутствующим параметром",""
"passed","Sun Mar 23 22:37:44 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","61","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Sun Mar 23 22:37:43 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","29","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testUserRegistration_MissingParameters","Тест регистрации пользователя с отсутствующими параметрами",""
"passed","Sun Mar 23 22:37:46 GMT 2025","Sun Mar 23 22:37:46 GMT 2025","4","","org.itmo.testing.lab3.service.UserStatusServiceTest","","org.itmo.testing.lab3.service.UserStatusServiceTest","testGetUserStatus_Highly_Active","testGetUserStatus_Highly_Active(long) [2] 240",""
"passed","Sun Mar 23 22:37:46 GMT 2025","Sun Mar 23 22:37:46 GMT 2025","13","","org.itmo.testing.lab3.service.UserStatusServiceTest","","org.itmo.testing.lab3.service.UserStatusServiceTest","testGetUserLastSessionDate_SomeSessions","testGetUserLastSessionDate_SomeSessions(List) [1] [Session[loginTime=2025-03-01T20:20, logoutTime=2025-03-02T15:45], Session[loginTime=2025-03-05T17:10, logoutTime=2025-03-05T18:05], Session[loginTime=2024-05-05T09:30, logoutTime=2024-05-05T10:25]]",""
"passed","Sun Mar 23 22:37:46 GMT 2025","Sun Mar 23 22:37:46 GMT 2025","1","","org.itmo.testing.lab3.service.UserStatusServiceTest","","org.itmo.testing.lab3.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive(long) [1] 0",""
"passed","Sun Mar 23 22:37:46 GMT 2025","Sun Mar 23 22:37:46 GMT 2025","4","","org.itmo.testing.lab3.service.UserStatusServiceTest","","org.itmo.testing.lab3.service.UserStatusServiceTest","testGetUserLastSessionDate_OneSession","testGetUserLastSessionDate_OneSession(List) [1] [Session[loginTime=2025-03-01T20:20, logoutTime=2025-03-02T15:45]]",""
"passed","Sun Mar 23 22:37:44 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","516","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testGetInactiveUsers","Тест получения неактивных пользователей",""
"passed","Sun Mar 23 22:37:44 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","9","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testGetMonthlyActivity_InvalidData","Тест получения времени активности пользователя с некорректным параметром",""
"passed","Sun Mar 23 22:37:44 GMT 2025","Sun Mar 23 22:37:44 GMT 2025","38","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab3.integration.UserAnalyticsIntegrationTest","testRecordSession_MissingParameters","Тест записи сессии с отсутствующими параметрами",""
